Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine, Martinique et La Réunion - Communes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 19/06/2018       Géographie au 01/01/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie (€);Part des ménages fiscaux imposés (%);Taux de pauvreté-Ensemble (%);Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté-propriétaires (%);Taux de pauvreté-locataires (%);Part des revenus d'activité (%);dont part des salaires et traitements hors chômage (%);dont part des indemnités de chômage (%);dont part des revenus des activités non salariées (%);Part des pensions, retraites et rentes (%);Part des revenus du patrimoine et autres revenus (%);Part de l'ensemble des prestations sociales (%);dont part des prestations familiales (%);dont part des minima sociaux (%);dont part des prestations logement (%);Part des impôts (%);1er décile du niveau de vie (€);9e décile du niveau de vie (€);Rapport interdécile 9e décile/1er décile
CODGEO;LIBGEO;NBMENFISC15;NBPERSMENFISC15;MED15;PIMP15;TP6015;TP60AGE115;TP60AGE215;TP60AGE315;TP60AGE415;TP60AGE515;TP60AGE615;TP60TOL115;TP60TOL215;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15;D115;D915;RD15
28405;Vert-en-Drouais;433,0;1127,0;22946,9;;;;;;;;;;;;;;;;;;;;;;;;
28406;Eole-en-Beauce;441,0;1065,5;21188,6;;;;;;;;;;;;;;;;;;;;;;;;
28407;Vichères;124,0;316,5;19768,0;;;;;;;;;;;;;;;;;;;;;;;;
28408;Vierville;47,0;133,0;19376,1;;;;;;;;;;;;;;;;;;;;;;;;
28409;Vieuvicq;180,0;464,0;20944,8;;;;;;;;;;;;;;;;;;;;;;;;
28410;Villampuy;115,0;305,0;21200,0;;;;;;;;;;;;;;;;;;;;;;;;
28411;Villars;61,0;165,5;20020,0;;;;;;;;;;;;;;;;;;;;;;;;
28412;Villeau;73,0;175,0;19794,8;;;;;;;;;;;;;;;;;;;;;;;;
28414;Villebon;;;;;;;;;;;;;;;;;;;;;;;;;;;
28415;Villemeux-sur-Eure;656,0;1629,0;22531,4;;;;;;;;;;;;;;;;;;;;;;;;
28417;Villiers-le-Morhier;527,0;1396,0;25231,7;;;;;;;;;;;;;;;;;;;;;;;;
28418;Villiers-Saint-Orien;75,0;170,0;20182,7;;;;;;;;;;;;;;;;;;;;;;;;
28419;Vitray-en-Beauce;126,0;361,5;21260,3;;;;;;;;;;;;;;;;;;;;;;;;
28421;Voise;112,0;280,5;22039,5;;;;;;;;;;;;;;;;;;;;;;;;
28422;Les Villages Vovéens;1605,0;3899,5;19997,0;54,7;11,5;;;;;;;;24,9;68,1;59,6;3,3;5,1;30,9;10,2;5,4;3,0;1,1;1,3;-14,6;11903,0;30681,3;2,6
28423;Yermenonville;235,0;606,0;27234,3;;;;;;;;;;;;;;;;;;;;;;;;
28424;Yèvres;765,0;1661,0;20413,3;;;;;;;;;;;;;;;;;;;;;;;;
28425;Ymeray;241,0;637,0;23728,2;;;;;;;;;;;;;;;;;;;;;;;;
28426;Ymonville;213,0;526,0;21951,0;;;;;;;;;;;;;;;;;;;;;;;;
29001;Argol;413,0;969,0;18226,5;;;;;;;;;;;;;;;;;;;;;;;;
29002;Arzano;569,0;1319,5;19592,0;;;;;;;;;;;;;;;;;;;;;;;;
29003;Audierne;1934,0;3623,0;19903,9;49,4;12,6;;;;;;;8,4;27,9;42,5;33,9;2,7;5,9;56,4;11,4;4,0;1,2;1,6;1,2;-14,3;11339,5;33601,3;3,0
29004;Bannalec;2456,0;5596,5;19513,0;49,3;10,3;;;;;;;7,5;23,5;66,6;55,8;3,8;7,0;33,4;8,9;4,8;2,4;1,3;1,1;-13,7;12254,0;29832,7;2,4
29005;Baye;494,0;1211,0;21938,0;;;;;;;;;;;;;;;;;;;;;;;;
29006;Bénodet;1823,0;3579,0;24821,7;66,0;8,0;;;;;;;;;50,5;39,9;2,5;8,1;48,9;18,0;2,3;1,0;0,8;0,6;-19,7;13327,9;44875,5;3,4
29007;Berrien;443,0;924,5;18045,0;;;;;;;;;;;;;;;;;;;;;;;;
29008;Beuzec-Cap-Sizun;458,0;1026,5;20163,3;;;;;;;;;;;;;;;;;;;;;;;;
29010;Bodilis;549,0;1458,5;19807,4;;;;;;;;;;;;;;;;;;;;;;;;
29011;Bohars;1248,0;3255,5;25696,7;73,3;;;;;;;;;;72,7;62,9;1,9;7,9;34,1;10,4;2,7;1,6;0,5;0,6;-19,9;15781,0;42465,5;2,7
29012;Bolazec;96,0;182,5;17975,0;;;;;;;;;;;;;;;;;;;;;;;;
29013;Botmeur;101,0;196,0;18043,8;;;;;;;;;;;;;;;;;;;;;;;;
29014;Botsorhel;189,0;436,0;18043,0;;;;;;;;;;;;;;;;;;;;;;;;
29015;Bourg-Blanc;1320,0;3422,0;21038,9;57,6;6,5;;;;;;;;;76,2;67,0;2,9;6,2;26,2;9,0;4,1;2,8;0,6;0,7;-15,5;13583,6;31898,0;2,3
29016;Brasparts;459,0;952,5;18248,0;;;;;;;;;;;;;;;;;;;;;;;;
29017;Brélès;347,0;925,0;20471,0;;;;;;;;;;;;;;;;;;;;;;;;
29018;Brennilis;222,0;461,0;17249,3;;;;;;;;;;;;;;;;;;;;;;;;
29019;Brest;62923,0;122886,5;19210,0;50,1;17,1;28,8;20,9;19,4;15,3;8,9;5,6;5,0;31,5;70,0;62,2;3,7;4,1;30,2;7,8;7,8;2,3;2,9;2,6;-15,8;10207,2;33405,3;3,3
29020;Briec;2273,0;5549,5;19307,6;47,1;10,2;;;;;;;6,4;20,4;71,8;63,6;3,2;5,0;26,1;9,0;6,5;3,2;1,7;1,6;-13,4;12263,3;29963,3;2,4
29021;Brignogan-Plages;430,0;809,0;20166,7;;;;;;;;;;;;;;;;;;;;;;;;
29022;Camaret-sur-Mer;1292,0;2523,0;20504,7;52,7;11,0;;;;;;;;;45,9;36,2;3,3;6,4;53,3;11,4;3,4;1,4;1,2;0,8;-14,0;12053,0;35090,0;2,9
29023;Carantec;1644,0;3317,5;24556,7;66,7;8,0;;;;;;;;;54,2;40,1;2,1;11,9;47,1;18,3;2,1;0,9;0,6;0,6;-21,7;13136,0;46996,7;3,6
29024;Carhaix-Plouguer;3517,0;6851,5;19318,0;49,1;15,2;;;20,9;14,6;;;7,5;31,9;56,4;46,7;2,9;6,8;42,3;9,3;6,5;2,1;2,6;1,9;-14,5;10457,0;31153,3;3,0
29025;Cast;682,0;1617,0;19567,6;;;;;;;;;;;;;;;;;;;;;;;;
29026;Châteaulin;2210,0;4826,5;19476,7;49,3;12,6;;;14,9;;;;;23,7;68,8;60,2;2,9;5,7;31,0;9,0;6,2;2,4;2,0;1,8;-15,0;11541,0;31347,0;2,7
29027;Châteauneuf-du-Faou;1668,0;3549,5;18735,2;44,8;13,8;;;;;;;8,4;31,2;59,8;50,7;2,9;6,2;38,9;9,4;5,4;2,4;1,5;1,5;-13,5;11238,7;30229,0;2,7
29028;Cléden-Cap-Sizun;451,0;897,5;18224,5;;;;;;;;;;;;;;;;;;;;;;;;
29029;Cléden-Poher;516,0;1148,0;19803,0;;;;;;;;;;;;;;;;;;;;;;;;
29030;Cléder;1717,0;3856,0;19455,2;49,4;11,7;;;;;;;10,2;;65,2;51,7;2,9;10,6;33,6;9,9;4,6;2,3;1,3;1,0;-13,3;11807,8;31813,3;2,7
29031;Clohars-Carnoët;2150,0;4641,5;21889,4;58,0;8,7;;;;;;;5,7;;56,5;46,8;2,6;7,1;44,6;13,4;3,2;1,5;1,0;0,7;-17,7;12809,4;36578,0;2,9
29032;Clohars-Fouesnant;915,0;2149,0;22412,1;63,0;;;;;;;;;;62,6;53,9;3,1;5,5;37,7;14,1;3,1;1,8;0,6;0,7;-17,5;13584,8;39224,8;2,9
29033;Le Cloître-Pleyben;236,0;512,5;18037,1;;;;;;;;;;;;;;;;;;;;;;;;
29034;Le Cloître-Saint-Thégonnec;266,0;638,5;19103,0;;;;;;;;;;;;;;;;;;;;;;;;
29035;Coat-Méal;390,0;1088,0;21076,7;;;;;;;;;;;;;;;;;;;;;;;;
29036;Collorec;290,0;596,0;17065,0;;;;;;;;;;;;;;;;;;;;;;;;
29037;Combrit;1855,0;4222,0;23172,7;62,7;8,0;;;;;;;5,8;;64,6;55,0;2,9;6,8;38,5;11,9;2,7;1,4;0,7;0,6;-17,7;13291,3;39333,3;3,0
29038;Commana;454,0;1014,0;17159,2;;;;;;;;;;;;;;;;;;;;;;;;
29039;Concarneau;9999,0;19718,5;20598,0;53,9;11,7;;16,1;16,0;14,0;5,4;;5,5;24,5;57,7;49,2;3,2;5,4;41,6;12,6;4,7;1,6;1,7;1,4;-16,6;11701,0;35568,0;3,0
29040;Le Conquet;1287,0;2737,5;22959,0;63,1;7,4;;;;;;;;;55,0;45,4;2,9;6,8;46,1;13,1;2,9;1,5;0,7;0,7;-17,1;13182,3;41361,0;3,1
29041;Coray;802,0;1819,0;19121,5;;;;;;;;;;;;;;;;;;;;;;;;
29042;Crozon;3759,0;7750,5;20507,2;55,5;10,5;;;12,2;;;;7,7;19,3;53,3;44,5;3,2;5,6;47,1;10,9;3,9;1,7;1,3;0,9;-15,2;12266,7;34548,8;2,8
29043;Daoulas;738,0;1785,0;22994,3;;;;;;;;;;;;;;;;;;;;;;;;
29044;Dinéault;588,0;1386,0;19294,8;;;;;;;;;;;;;;;;;;;;;;;;
29045;Dirinon;900,0;2324,5;22293,3;62,6;;;;;;;;;;75,5;67,3;3,0;5,3;28,1;9,2;3,1;1,9;0,6;0,6;-15,9;14296,7;35385,3;2,5
29046;Douarnenez;7408,0;14193,5;19318,3;49,0;13,7;;20,6;20,0;15,1;6,3;;7,1;29,0;55,3;46,1;3,9;5,3;44,0;10,2;5,5;1,6;2,2;1,7;-15,0;11193,9;32437,0;2,9
29047;Le Drennec;707,0;1874,5;21055,0;;;;;;;;;;;;;;;;;;;;;;;;
29048;Edern;886,0;2255,0;19933,3;48,1;;;;;;;;;;77,8;67,8;3,3;6,7;23,4;7,5;4,8;3,1;0,8;0,8;-13,5;13261,1;29607,3;2,2
29049;Elliant;1363,0;3290,5;19817,0;49,9;9,8;;;;;;;;;73,0;64,6;3,2;5,1;26,2;9,9;5,2;2,8;1,4;1,0;-14,3;12358,0;29634,5;2,4
29051;Ergué-Gabéric;3373,0;8221,5;22217,3;63,5;6,2;;;;;;;5,0;18,6;71,1;63,4;2,5;5,2;32,2;8,6;4,0;2,2;0,9;0,9;-15,9;13851,7;34198,5;2,5
29053;Le Faou;793,0;1712,0;20937,0;;;;;;;;;;;;;;;;;;;;;;;;
29054;La Feuillée;308,0;622,0;16896,5;;;;;;;;;;;;;;;;;;;;;;;;
29055;Le Folgoët;1340,0;3261,0;20720,0;52,8;6,7;;;;;;;;;66,8;58,7;3,1;5,0;35,2;8,2;4,0;2,3;1,0;0,8;-14,2;13575,2;32897,3;2,4
29056;La Forest-Landerneau;719,0;1838,0;23109,3;;;;;;;;;;;;;;;;;;;;;;;;
29057;La Forêt-Fouesnant;1572,0;3533,0;23520,5;65,5;8,3;;;;;;;;;58,0;48,4;2,6;6,9;41,7;17,1;2,4;1,2;0,7;0,5;-19,2;13038,7;44853,7;3,4
29058;Fouesnant;4710,0;10094,5;23506,0;64,8;7,2;;;9,2;9,9;;;5,0;14,7;59,6;50,1;2,7;6,8;43,0;13,9;2,5;1,1;0,7;0,7;-19,0;13575,2;41110,0;3,0
29059;Garlan;415,0;1072,5;21354,3;;;;;;;;;;;;;;;;;;;;;;;;
29060;Gouesnach;1166,0;2832,5;23110,0;63,4;;;;;;;;;;69,7;58,6;3,1;8,0;33,0;11,6;3,0;1,8;0,7;0,5;-17,3;13988,3;37744,4;2,7
29061;Gouesnou;2489,0;6193,5;23250,0;64,8;5,0;;;;;;;;;75,3;65,5;3,3;6,5;29,1;10,6;3,3;1,8;0,8;0,8;-18,3;14536,3;39531,0;2,7
29062;Gouézec;488,0;1123,0;20005,2;;;;;;;;;;;;;;;;;;;;;;;;
29063;Goulien;199,0;425,0;18918,0;;;;;;;;;;;;;;;;;;;;;;;;
29064;Goulven;196,0;454,0;19311,1;;;;;;;;;;;;;;;;;;;;;;;;
29065;Gourlizon;394,0;944,0;20716,5;;;;;;;;;;;;;;;;;;;;;;;;
29066;Guengat;703,0;1773,5;21161,2;;;;;;;;;;;;;;;;;;;;;;;;
29067;Guerlesquin;588,0;1265,5;18997,8;;;;;;;;;;;;;;;;;;;;;;;;
29068;Guiclan;966,0;2438,0;19509,5;47,1;8,5;;;;;;;;;76,5;60,3;4,3;11,8;23,1;9,2;5,0;3,2;1,1;0,8;-13,8;12685,2;29234,7;2,3
29069;Guilers;3064,0;7887,5;21618,0;60,7;5,9;;;;;;;;19,3;71,0;63,6;2,8;4,6;34,0;6,7;4,2;2,4;0,8;0,9;-15,9;14046,7;33341,3;2,4
29070;Guiler-sur-Goyen;230,0;541,5;19290,0;;;;;;;;;;;;;;;;;;;;;;;;
29071;Guilligomarc'h;325,0;755,5;18935,0;;;;;;;;;;;;;;;;;;;;;;;;
29072;Guilvinec;1549,0;2809,5;20322,5;51,3;10,5;;;;;;;;;45,9;36,1;2,5;7,3;52,2;11,9;3,8;1,2;1,4;1,2;-13,8;12159,3;34661,3;2,9
29073;Guimaëc;452,0;974,0;19783,3;;;;;;;;;;;;;;;;;;;;;;;;
29074;Guimiliau;408,0;1014,0;18415,8;;;;;;;;;;;;;;;;;;;;;;;;
29075;Guipavas;5788,0;14493,5;22245,0;62,2;6,3;;;8,1;5,9;;;5,0;15,6;76,0;66,5;2,7;6,8;29,1;8,7;3,9;2,3;0,8;0,9;-17,7;13693,3;35947,3;2,6
29076;Guipronvel;295,0;803,0;21917,8;;;;;;;;;;;;;;;;;;;;;;;;
29077;Guissény;917,0;2082,5;19936,0;48,3;10,0;;;;;;;;;59,8;48,6;3,0;8,3;40,5;9,5;4,2;2,1;1,2;0,9;-14,0;12349,3;31595,3;2,6
29078;Hanvec;850,0;2087,5;21103,0;54,2;10,0;;;;;;;;;74,3;62,7;3,1;8,5;28,5;8,0;4,0;2,4;0,9;0,7;-14,8;12260,0;34031,7;2,8
29079;Henvic;585,0;1345,5;20292,0;;;;;;;;;;;;;;;;;;;;;;;;
29080;Hôpital-Camfrout;952,0;2312,0;22762,0;59,7;;;;;;;;;;70,3;62,2;3,1;5,0;34,5;7,0;3,4;2,3;0,6;0,6;-15,2;14274,7;34486,7;2,4
29081;Huelgoat;738,0;1337,0;18788,5;;;;;;;;;;;;;;;;;;;;;;;;
29082;Île-de-Batz;246,0;473,0;21600,7;;;;;;;;;;;;;;;;;;;;;;;;
29085;Île-Tudy;406,0;766,5;23529,5;;;;;;;;;;;;;;;;;;;;;;;;
29086;Irvillac;546,0;1421,0;21391,3;;;;;;;;;;;;;;;;;;;;;;;;
29087;Le Juch;292,0;720,0;20389,4;;;;;;;;;;;;;;;;;;;;;;;;
29089;Kergloff;370,0;885,0;21004,0;;;;;;;;;;;;;;;;;;;;;;;;
29090;Kerlaz;343,0;836,5;21087,6;;;;;;;;;;;;;;;;;;;;;;;;
29091;Kerlouan;1071,0;2241,5;20108,0;49,3;9,5;;;;;;;;;51,9;42,7;3,1;6,1;48,2;9,0;3,9;1,7;1,3;0,9;-13,0;12496,5;32159,3;2,6
29093;Kernilis;525,0;1428,5;19157,0;;;;;;;;;;;;;;;;;;;;;;;;
29094;Kernouës;284,0;725,5;20124,7;;;;;;;;;;;;;;;;;;;;;;;;
29095;Kersaint-Plabennec;534,0;1454,5;21395,5;;;;;;;;;;;;;;;;;;;;;;;;
29097;Lampaul-Guimiliau;837,0;2020,0;20111,6;54,0;;;;;;;;;;69,7;59,2;4,0;6,5;31,7;7,9;4,1;2,5;0,8;0,8;-13,4;12458,4;31043,5;2,5
29098;Lampaul-Plouarzel;1006,0;2243,0;21266,5;55,2;;;;;;;;;;59,9;52,8;3,1;4,0;43,2;8,1;3,5;2,2;0,7;0,7;-14,7;13622,3;33429,6;2,5
29099;Lampaul-Ploudalmézeau;320,0;867,0;20967,2;;;;;;;;;;;;;;;;;;;;;;;;
29100;Lanarvily;160,0;436,0;21146,0;;;;;;;;;;;;;;;;;;;;;;;;
29101;Landéda;1603,0;3703,5;22628,6;60,7;8,0;;;;;;;;;70,4;57,5;3,0;10,0;33,9;10,5;3,1;1,7;0,7;0,7;-17,9;13404,0;37752,3;2,8
29102;Landeleau;437,0;914,5;17962,0;;;;;;;;;;;;;;;;;;;;;;;;
29103;Landerneau;6851,0;15078,5;20652,4;53,0;9,0;17,8;8,9;10,9;9,2;;;5,0;20,7;72,9;64,4;3,1;5,5;30,5;7,3;5,1;2,2;1,4;1,4;-15,8;12670,0;33546,5;2,6
29104;Landévennec;145,0;297,0;19404,3;;;;;;;;;;;;;;;;;;;;;;;;
29105;Landivisiau;3999,0;9001,0;19359,0;48,0;11,7;;12,6;14,0;;;;6,1;24,4;71,7;61,5;3,8;6,5;28,1;9,0;6,5;2,8;2,1;1,7;-15,3;11814,0;31479,5;2,7
29106;Landrévarzec;718,0;1828,0;20365,4;;;;;;;;;;;;;;;;;;;;;;;;
29107;Landudal;356,0;893,5;20569,0;;;;;;;;;;;;;;;;;;;;;;;;
29108;Landudec;606,0;1413,5;19208,1;;;;;;;;;;;;;;;;;;;;;;;;
29109;Landunvez;717,0;1591,5;22297,4;;;;;;;;;;;;;;;;;;;;;;;;
29110;Langolen;354,0;878,5;20263,7;;;;;;;;;;;;;;;;;;;;;;;;
29111;Lanhouarneau;512,0;1336,5;18330,6;;;;;;;;;;;;;;;;;;;;;;;;
29112;Lanildut;452,0;993,5;23344,2;;;;;;;;;;;;;;;;;;;;;;;;
29113;Lanmeur;925,0;2053,5;20340,0;51,7;10,0;;;;;;;;;57,2;46,9;2,4;7,9;40,9;9,6;5,7;2,3;2,0;1,3;-13,4;12352,0;31219,4;2,5
29114;Lannéanou;162,0;355,5;19111,3;;;;;;;;;;;;;;;;;;;;;;;;
29115;Lannédern;132,0;298,5;17482,7;;;;;;;;;;;;;;;;;;;;;;;;
29116;Lanneuffret;59,0;157,0;19675,6;;;;;;;;;;;;;;;;;;;;;;;;
29117;Lannilis;2294,0;5590,5;20288,0;50,2;8,6;;;12,8;;;;5,5;20,4;70,5;61,3;3,0;6,2;29,5;9,8;5,0;2,9;1,0;1,2;-14,8;12854,0;32173,5;2,5
29119;Lanrivoaré;563,0;1500,5;21382,0;;;;;;;;;;;;;;;;;;;;;;;;
29120;Lanvéoc;802,0;1835,5;19876,7;;;;;;;;;;;;;;;;;;;;;;;;
29122;Laz;299,0;684,0;17529,6;;;;;;;;;;;;;;;;;;;;;;;;
29123;Lennon;337,0;820,0;19051,0;;;;;;;;;;;;;;;;;;;;;;;;
29124;Lesneven;3138,0;6875,0;19852,5;46,4;11,1;;;13,5;;;;6,1;24,9;66,9;57,4;3,3;6,3;33,2;8,8;5,6;2,6;1,7;1,4;-14,5;12018,3;31205,4;2,6
29125;Leuhan;371,0;805,0;17477,0;;;;;;;;;;;;;;;;;;;;;;;;
29126;Loc-Brévalaire;76,0;202,0;21127,5;;;;;;;;;;;;;;;;;;;;;;;;
29128;Loc-Eguiner;149,0;378,5;18971,7;;;;;;;;;;;;;;;;;;;;;;;;
29129;Locmaria-Berrien;117,0;216,0;19837,7;;;;;;;;;;;;;;;;;;;;;;;;
29130;Locmaria-Plouzané;1956,0;5247,0;23807,6;69,1;5,0;;;;;;;;;78,4;69,6;2,7;6,1;28,2;7,7;3,2;2,2;0,5;0,6;-17,5;14528,0;38365,3;2,6
29131;Locmélar;195,0;458,5;20275,0;;;;;;;;;;;;;;;;;;;;;;;;
29132;Locquénolé;364,0;829,0;23469,5;;;;;;;;;;;;;;;;;;;;;;;;
29133;Locquirec;694,0;1394,5;23103,5;;;;;;;;;;;;;;;;;;;;;;;;
29134;Locronan;350,0;809,0;20819,2;;;;;;;;;;;;;;;;;;;;;;;;
29135;Loctudy;2012,0;4098,5;22656,7;60,6;8,6;;;;;;;5,9;;45,8;37,2;2,3;6,2;54,2;14,4;2,4;1,1;0,7;0,6;-16,8;12878,0;38929,3;3,0
29136;Locunolé;462,0;1159,5;19410,0;;;;;;;;;;;;;;;;;;;;;;;;
29137;Logonna-Daoulas;917,0;2194,0;22637,1;60,7;;;;;;;;;;74,6;66,1;3,1;5,3;30,2;7,8;3,1;2,0;0,5;0,6;-15,7;14369,3;36669,0;2,6
29139;Lopérec;336,0;778,0;19486,0;;;;;;;;;;;;;;;;;;;;;;;;
29140;Loperhet;1446,0;3820,5;23067,6;64,6;5,9;;;;;;;;;79,7;70,5;3,0;6,2;26,6;7,3;3,5;2,2;0,6;0,6;-17,1;13884,8;37472,1;2,7
29141;Loqueffret;187,0;361,0;15585,0;;;;;;;;;;;;;;;;;;;;;;;;
29142;Lothey;194,0;466,5;19913,3;;;;;;;;;;;;;;;;;;;;;;;;
29143;Mahalon;360,0;884,0;19823,0;;;;;;;;;;;;;;;;;;;;;;;;
29144;La Martyre;295,0;781,0;19568,4;;;;;;;;;;;;;;;;;;;;;;;;
29145;Confort-Meilars;352,0;893,5;20081,7;;;;;;;;;;;;;;;;;;;;;;;;
29146;Melgven;1464,0;3423,5;20473,8;54,8;8,0;;;;;;;6,8;;64,6;56,4;3,6;4,7;35,8;9,8;3,8;2,4;0,8;0,7;-14,0;12894,1;30841,7;2,4
29147;Mellac;1283,0;3132,0;21067,8;57,1;7,9;;;;;;;;;74,3;66,1;3,0;5,2;27,4;8,8;4,3;2,4;0,9;1,0;-14,8;13112,9;32625,0;2,5
29148;Mespaul;388,0;959,5;18729,6;;;;;;;;;;;;;;;;;;;;;;;;
29149;Milizac;1363,0;3687,0;21795,7;59,3;5,7;;;;;;;;;79,2;67,4;2,4;9,4;25,3;7,0;4,2;2,9;0,6;0,7;-15,7;13958,0;33075,8;2,4
29150;Moëlan-sur-Mer;3334,0;7073,0;21398,0;56,7;9,5;;;;;;;7,2;21,3;51,4;43,1;2,7;5,5;50,2;10,3;3,3;1,5;1,1;0,7;-15,2;12613,3;35183,5;2,8
29151;Morlaix;7334,0;13980,5;18968,7;46,3;18,6;33,6;25,3;23,4;18,0;9,3;;6,7;36,8;64,3;53,3;3,9;7,1;33,7;9,4;8,4;2,0;3,7;2,6;-15,8;9578,6;32974,0;3,4
29152;Motreff;300,0;707,0;19668,8;;;;;;;;;;;;;;;;;;;;;;;;
29153;Névez;1389,0;2879,0;21806,0;57,4;9,3;;;;;;;;;47,7;39,7;2,4;5,6;51,4;14,2;2,7;1,2;0,9;0,6;-16,0;12574,0;36458,7;2,9
29155;Ouessant;466,0;765,5;18400,0;;;;;;;;;;;;;;;;;;;;;;;;
29156;Pencran;710,0;1977,0;22326,4;;;;;;;;;;;;;;;;;;;;;;;;
29158;Penmarch;2708,0;5450,5;20260,0;50,5;10,9;;;;;;;7,5;28,4;49,1;39,5;2,6;6,9;49,7;12,6;3,5;1,3;1,3;0,8;-14,9;12090,4;34850,0;2,9
29159;Peumerit;360,0;807,5;19844,0;;;;;;;;;;;;;;;;;;;;;;;;
29160;Plabennec;3314,0;8329,5;20996,0;56,7;6,9;;;;;;;5,0;17,8;74,8;65,6;3,0;6,2;28,0;7,8;4,5;2,7;1,0;0,9;-15,1;13552,0;32094,4;2,4
29161;Pleuven;1234,0;2914,5;21650,8;58,0;7,0;;;;;;;;;69,3;59,1;3,2;6,9;33,1;9,7;3,4;1,8;0,8;0,7;-15,5;13550,0;36261,2;2,7
29162;Pleyben;1573,0;3553,0;18923,2;45,1;11,4;;;;;;;8,1;;69,2;55,7;3,1;10,3;29,8;9,6;5,1;2,8;1,1;1,2;-13,7;11924,0;29813,5;2,5
29163;Pleyber-Christ;1326,0;3086,0;19647,2;49,3;11,6;;;;;;;;;66,8;54,1;3,5;9,2;33,6;8,9;5,2;2,7;1,3;1,2;-14,5;11941,0;31536,0;2,6
29165;Plobannalec-Lesconil;1652,0;3582,0;21498,5;57,2;8,6;;;;;;;;;56,0;45,1;3,0;7,8;44,2;12,4;3,1;1,5;0,9;0,7;-15,7;12937,0;37091,0;2,9
29166;Ploéven;224,0;521,5;19074,7;;;;;;;;;;;;;;;;;;;;;;;;
29167;Plogastel-Saint-Germain;804,0;1962,0;20380,0;;;;;;;;;;;;;;;;;;;;;;;;
29168;Plogoff;655,0;1218,0;19319,3;;;;;;;;;;;;;;;;;;;;;;;;
29169;Plogonnec;1262,0;3083,0;20486,7;53,2;8,6;;;;;;;;;68,3;59,4;2,9;6,0;32,2;11,0;3,8;2,1;0,9;0,7;-15,3;12710,0;31532,7;2,5
29170;Plomelin;1777,0;4316,5;22257,6;61,7;6,6;;;;;;;;;68,3;58,2;2,8;7,3;34,4;10,7;3,3;1,8;0,8;0,7;-16,7;13837,0;36511,2;2,6
29171;Plomeur;1676,0;3950,0;20921,3;54,7;8,5;;;;;;;6,0;;64,4;51,8;2,4;10,2;34,0;12,0;3,6;1,9;0,9;0,8;-14,0;12973,5;33683,3;2,6
29172;Plomodiern;1006,0;2185,0;20831,8;53,5;11,4;;;;;;;;;61,3;48,7;3,1;9,4;39,1;10,6;3,5;1,7;1,0;0,8;-14,5;12101,7;33504,2;2,8
29173;Plonéis;937,0;2411,5;20570,7;53,8;8,5;;;;;;;;;79,5;69,9;3,3;6,3;22,2;6,4;5,7;3,2;1,4;1,2;-13,8;12741,3;29267,2;2,3
29174;Plonéour-Lanvern;2607,0;6029,5;20140,0;51,5;9,4;;;;;;;6,8;21,7;67,3;57,3;2,8;7,3;32,8;9,6;4,7;2,3;1,4;1,0;-14,4;12617,7;32798,1;2,6
29175;Plonévez-du-Faou;953,0;1986,5;18347,8;;;;;;;;;;;;;;;;;;;;;;;;
29176;Plonévez-Porzay;791,0;1796,5;20133,6;;;;;;;;;;;;;;;;;;;;;;;;
29177;Plouarzel;1489,0;3817,5;21711,9;57,9;5,9;;;;;;;;;72,5;60,7;2,8;9,0;29,9;9,0;3,8;2,6;0,6;0,6;-15,2;13772,2;34460,0;2,5
29178;Ploudalmézeau;2642,0;6284,5;21162,5;55,2;8,0;;;;;;;5,5;22,0;64,8;55,1;2,2;7,5;37,5;9,0;4,2;2,5;1,0;0,8;-15,5;13177,2;33300,0;2,5
29179;Ploudaniel;1457,0;3688,5;21008,7;56,4;6,4;;;;;;;;;73,6;62,6;2,8;8,2;27,8;8,5;4,1;2,7;0,7;0,7;-14,0;13544,0;32222,7;2,4
29180;Ploudiry;362,0;954,0;19446,3;;;;;;;;;;;;;;;;;;;;;;;;
29181;Plouédern;1141,0;2943,0;21890,6;61,1;;;;;;;;;;77,2;67,3;3,0;6,9;26,9;7,4;3,6;2,4;0,6;0,6;-15,1;14109,0;34112,0;2,4
29182;Plouégat-Guérand;452,0;1111,5;19956,4;;;;;;;;;;;;;;;;;;;;;;;;
29183;Plouégat-Moysan;297,0;713,0;19376,7;;;;;;;;;;;;;;;;;;;;;;;;
29184;Plouénan;1125,0;2612,0;18430,0;43,2;11,6;;;;;;;9,6;;67,0;52,3;3,4;11,2;31,2;8,6;5,7;2,8;1,7;1,3;-12,5;11884,6;27720,5;2,3
