Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France métropolitaine, Martinique et La Réunion - Communes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 19/06/2018       Géographie au 01/01/2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Médiane du niveau vie (€);Part des ménages fiscaux imposés (%);Taux de pauvreté-Ensemble (%);Taux de pauvreté-moins de 30 ans (%);Taux de pauvreté-30 à 39 ans  (%);Taux de pauvreté-40 à 49 ans (%);Taux de pauvreté-50 à 59 ans (%);Taux de pauvreté-60 à 74 ans (%);Taux de pauvreté-75 ans ou plus (%);Taux de pauvreté-propriétaires (%);Taux de pauvreté-locataires (%);Part des revenus d'activité (%);dont part des salaires et traitements hors chômage (%);dont part des indemnités de chômage (%);dont part des revenus des activités non salariées (%);Part des pensions, retraites et rentes (%);Part des revenus du patrimoine et autres revenus (%);Part de l'ensemble des prestations sociales (%);dont part des prestations familiales (%);dont part des minima sociaux (%);dont part des prestations logement (%);Part des impôts (%);1er décile du niveau de vie (€);9e décile du niveau de vie (€);Rapport interdécile 9e décile/1er décile
CODGEO;LIBGEO;NBMENFISC15;NBPERSMENFISC15;MED15;PIMP15;TP6015;TP60AGE115;TP60AGE215;TP60AGE315;TP60AGE415;TP60AGE515;TP60AGE615;TP60TOL115;TP60TOL215;PACT15;PTSA15;PCHO15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15;D115;D915;RD15
01041;Bettant;321,0;790,0;22630,0;;;;;;;;;;;;;;;;;;;;;;;;
01042;Bey;108,0;285,0;23302,0;;;;;;;;;;;;;;;;;;;;;;;;
01043;Beynost;1733,0;4583,0;25880,4;73,3;5,8;;;;;;;;;78,5;70,3;2,6;5,6;26,4;12,2;2,5;1,6;0,4;0,5;-19,6;14630,4;45214,3;3,1
01044;Billiat;228,0;584,0;25215,3;;;;;;;;;;;;;;;;;;;;;;;;
01045;Birieux;99,0;301,0;23168,6;;;;;;;;;;;;;;;;;;;;;;;;
01046;Biziat;328,0;886,0;21448,8;;;;;;;;;;;;;;;;;;;;;;;;
01047;Blyes;369,0;1020,0;25555,3;;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1107,0;3027,5;24862,0;70,6;;;;;;;;;;80,7;74,7;2,4;3,6;23,2;10,5;2,8;2,1;0,4;0,3;-17,2;14879,1;38842,8;2,6
01050;Boissey;127,0;342,0;19351,0;;;;;;;;;;;;;;;;;;;;;;;;
01051;Bolozon;;;;;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;126,0;298,0;25812,7;;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18630,0;38004,5;18165,7;50,0;21,6;29,7;27,8;26,3;20,6;14,9;8,9;5,5;32,0;64,4;57,2;3,4;3,7;33,2;10,5;7,9;2,6;2,8;2,5;-16,0;9583,6;33753,8;3,5
01054;Bourg-Saint-Christophe;502,0;1400,5;24406,1;;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;146,0;340,5;20848,9;;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;199,0;506,5;20352,4;;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;339,0;826,5;20417,5;;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;43,0;105,0;20038,0;;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;237,0;538,0;22522,5;;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;431,0;1190,0;22872,6;;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;332,0;887,5;26497,0;;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;210,0;512,5;22333,8;;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;391,0;960,5;20574,7;;;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;717,0;1846,5;23503,5;;;;;;;;;;;;;;;;;;;;;;;;
01066;La Burbanche;;;;;;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;103,0;262,5;21795,2;;;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;297,0;683,5;20087,0;;;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;599,0;1499,5;22859,4;;;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1752,0;4430,0;36747,3;62,3;7,9;;;;;;;;;95,8;90,3;3,1;2,4;13,0;7,8;1,1;0,6;0,2;0,3;-17,7;14043,3;76185,2;5,4
01072;Ceyzériat;1280,0;3019,5;22744,7;68,3;;;;;;;;;;75,7;67,6;2,3;5,8;28,0;10,6;3,7;2,1;0,9;0,8;-18,0;14297,5;37858,7;2,6
01073;Ceyzérieu;440,0;1033,0;21623,3;;;;;;;;;;;;;;;;;;;;;;;;
01074;Chalamont;936,0;2264,5;20860,0;54,8;10,5;;;;;;;;;79,5;73,7;2,5;3,3;22,6;9,2;4,5;2,6;0,9;1,0;-15,8;12185,0;33481,0;2,7
01075;Chaleins;473,0;1319,0;22692,3;;;;;;;;;;;;;;;;;;;;;;;;
01076;Chaley;76,0;152,0;20184,0;;;;;;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;91,0;191,0;21004,0;;;;;;;;;;;;;;;;;;;;;;;;
01078;Challex;484,0;1212,0;40368,9;;;;;;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;298,0;669,5;20704,0;;;;;;;;;;;;;;;;;;;;;;;;
